Collection,Weapon,Skin,Quality,Steam Market API URL
"Anubis Collection","R8 Revolver","Inlay","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=R8%20Revolver%20%7C%20Inlay%20(Factory%20New)"
"Anubis Collection","M249","Submerged","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M249%20%7C%20Submerged%20(Factory%20New)"
"Anubis Collection","XM1014","Hieroglyph","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=XM1014%20%7C%20Hieroglyph%20(Factory%20New)"
"Anubis Collection","MP7","Sunbaked","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MP7%20%7C%20Sunbaked%20(Factory%20New)"
"Anubis Collection","AUG","Snake Pit","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AUG%20%7C%20Snake%20Pit%20(Factory%20New)"
"Anubis Collection","M4A1-S","Mud-Spec","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A1-S%20%7C%20Mud-Spec%20(Factory%20New)"
"Anubis Collection","SSG 08","Azure Glyph","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=SSG%2008%20%7C%20Azure%20Glyph%20(Factory%20New)"
"Anubis Collection","USP-S","Desert Tactical","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=USP-S%20%7C%20Desert%20Tactical%20(Factory%20New)"
"Anubis Collection","MAC-10","Echoing Sands","Industrial Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAC-10%20%7C%20Echoing%20Sands%20(Factory%20New)"
"Anubis Collection","Tec-9","Mummy's Rot","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Tec-9%20%7C%20Mummy's%20Rot%20(Factory%20New)"
"Anubis Collection","AK-47","Steel Delta","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AK-47%20%7C%20Steel%20Delta%20(Factory%20New)"
"Anubis Collection","AWP","Black Nile","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=AWP%20%7C%20Black%20Nile%20(Factory%20New)"
"Anubis Collection","MAG-7","Copper Coated","Mil-Spec","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=MAG-7%20%7C%20Copper%20Coated%20(Factory%20New)"
"Anubis Collection","Glock-18","Ramese's Reach","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Glock-18%20%7C%20Ramese's%20Reach%20(Factory%20New)"
"Anubis Collection","Nova","Sobek's Bite","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Sobek's%20Bite%20(Factory%20New)"
"Anubis Collection","P90","ScaraB Rush","Restricted","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P90%20%7C%20ScaraB%20Rush%20(Factory%20New)"
"Anubis Collection","FAMAS","Waters of Nephthys","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=FAMAS%20%7C%20Waters%20of%20Nephthys%20(Factory%20New)"
"Anubis Collection","P250","Apep's Curse","Classified","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=P250%20%7C%20Apep's%20Curse%20(Factory%20New)"
"Anubis Collection","M4A4","Eye of Horus","Covert","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=M4A4%20%7C%20Eye%20of%20Horus%20(Factory%20New)"
"Ancient Collection","Nova","Army Sheen","Consumer Grade","https://steamcommunity.com/market/priceoverview/?appid=730&market_hash_name=Nova%20%7C%20Army%20Sheen%20(Factory%20New)"
