epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95742,1.84759,20.1003,1.83882,0.00828,1,0.02155,0.00855,1.7988,33.2554,2.3322,2e-05,2e-05,2e-05
2,10.5577,2.18632,17.0225,2.10898,0.00814,0.66667,0.02129,0.0072,1.87829,36.0698,2.37819,5.92575e-05,5.92575e-05,5.92575e-05
3,11.9249,1.92755,22.1219,2.2438,0.01292,1,0.02287,0.00591,1.9335,40.4449,2.46396,9.7525e-05,9.7525e-05,9.7525e-05
4,13.1865,2.54417,23.875,2.60718,0.00283,0.66667,0.01566,0.00594,1.94713,32.8606,2.44862,0.000134803,0.000134803,0.000134803
5,14.571,2.29852,16.1186,2.272,0.35792,0.33333,0.349,0.20578,1.08882,10.7084,1.87522,0.00017109,0.00017109,0.00017109
6,16.7822,1.47646,11.7032,1.78963,0.09698,0.66667,0.1462,0.10149,0.95156,10.7255,1.60626,0.000206388,0.000206388,0.000206388
7,18.5196,0.56324,11.7677,1.09395,0.54154,1,0.64133,0.4574,0.64899,9.74257,1.16816,0.000240695,0.000240695,0.000240695
8,20.2992,0.51555,5.52901,0.88456,0.97115,1,0.995,0.88507,0.66516,9.47274,1.19421,0.000274012,0.000274012,0.000274012
9,21.9061,0.45228,4.50041,0.89826,0.65637,1,0.83,0.59865,0.72701,13.7358,1.29076,0.00030634,0.00030634,0.00030634
10,23.4104,0.47387,2.48999,0.93625,0.97313,1,0.995,0.92904,0.43478,13.1984,1.17366,0.000337677,0.000337677,0.000337677
11,24.959,0.43708,2.84971,0.92162,1,0.96325,0.995,0.92904,0.43269,12.7084,1.12337,0.000368025,0.000368025,0.000368025
12,26.6926,0.50716,2.72751,0.95811,1,0.97216,0.995,0.79715,0.48902,14.7071,1.15956,0.000397383,0.000397383,0.000397383
13,28.5402,0.36092,1.69112,0.8661,1,0.66586,0.74115,0.66965,0.49534,22.6303,1.16232,0.00042575,0.00042575,0.00042575
